LineId,Time,Level,Content,EventId,EventTemplate
1,Thu Jun 09 06:07:04 2005,notice,LDAP: Built with OpenLDAP LDAP SDK,E0,Unknown Event: <*>
2,Thu Jun 09 06:07:04 2005,notice,LDAP: SSL support unavailable,E0,Unknown Event: <*>
3,Thu Jun 09 06:07:04 2005,notice,suEXEC mechanism enabled (wrapper: /usr/sbin/suexec),E0,Unknown Event: <*>
4,Thu Jun 09 06:07:05 2005,notice,Digest: generating secret for digest authentication ...,E0,Unknown Event: <*>
5,Thu Jun 09 06:07:05 2005,notice,Digest: done,E0,Unknown Event: <*>
6,Thu Jun 09 06:07:05 2005,notice,LDAP: Built with OpenLDAP LDAP SDK,E0,Unknown Event: <*>
7,Thu Jun 09 06:07:05 2005,notice,LDAP: SSL support unavailable,E0,Unknown Event: <*>
9,Thu Jun 09 06:07:05 2005,error,config.update(): Can't create channel.jni:jni,E0,Unknown Event: <*>
11,Thu Jun 09 06:07:05 2005,error,config.update(): Can't create vm:,E0,Unknown Event: <*>
13,Thu Jun 09 06:07:05 2005,error,config.update(): Can't create worker.jni:onStartup,E0,Unknown Event: <*>
15,Thu Jun 09 06:07:05 2005,error,config.update(): Can't create worker.jni:onShutdown,E0,Unknown Event: <*>
16,Thu Jun 09 06:07:16 2005,notice,mod_python: Creating 32 session mutexes based on 150 max processes and 0 max threads.,E0,Unknown Event: <*>
17,Thu Jun 09 06:07:19 2005,notice,mod_security/1.9dev2 configured,E0,Unknown Event: <*>
18,Thu Jun 09 06:07:19 2005,notice,Apache/2.0.49 (Fedora) configured -- resuming normal operations,E0,Unknown Event: <*>
28,Thu Jun 09 06:07:20 2005,error,mod_jk child init 1 0,E0,Unknown Event: <*>
48,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
49,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
50,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
51,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
52,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
53,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
54,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
55,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
56,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
57,Thu Jun 09 19:23:31 2005,error,[client 81.199.21.119] File does not exist: /var/www/html/sumthin,E0,Unknown Event: <*>
